"","Date","State","Race","Cases","Deaths","Hosp","Tests","Region","Gov_Control","Population_By_Race"
"348",2021-03-07,"Texas","Asian",933,898,NA,NA,"South","Red",1511069
"349",2021-03-07,"Texas","AIAN",NA,NA,NA,NA,"South","Red",169576
"350",2021-03-07,"Texas","NHPI",NA,NA,NA,NA,"South","Red",27350
"351",2021-03-07,"Texas","Multiracial",NA,NA,NA,NA,"South","Red",4407783
"352",2021-03-07,"Texas","Other",428,231,NA,NA,"South","Red",2281525
"353",2021-03-07,"Utah","Total",374850,1976,14891,2248121,"West","Red",3271616
"354",2021-03-07,"Utah","White",238411,1329,9312,1508818,"West","Red",2705194
"355",2021-03-07,"Utah","Black",5001,18,246,29013,"West","Red",37712
"356",2021-03-07,"Utah","Asian",7107,59,349,42053,"West","Red",77761
"357",2021-03-07,"Utah","AIAN",5016,72,459,23644,"West","Red",32948
"358",2021-03-07,"Utah","NHPI",8931,57,765,32491,"West","Red",30748
"359",2021-03-07,"Utah","Multiracial",NA,NA,NA,NA,"West","Red",224725
"360",2021-03-07,"Utah","Other",26238,119,1114,131519,"West","Red",174721
"361",2021-03-07,"Virginia","Total",585700,9596,24661,NA,"Midatlantic","Blue",8631393
"362",2021-03-07,"Virginia","White",235269,6002,10858,NA,"Midatlantic","Blue",5473610
"363",2021-03-07,"Virginia","Black",99166,2262,6760,NA,"Midatlantic","Blue",1630355
"364",2021-03-07,"Virginia","Asian",19984,337,1087,NA,"Midatlantic","Blue",591088
"365",2021-03-07,"Virginia","AIAN",756,24,36,NA,"Midatlantic","Blue",23728
"366",2021-03-07,"Virginia","NHPI",NA,NA,NA,NA,"Midatlantic","Blue",6185
"367",2021-03-07,"Virginia","Multiracial",5823,62,194,NA,"Midatlantic","Blue",596298
"368",2021-03-07,"Virginia","Other",15947,66,494,NA,"Midatlantic","Blue",303247
"369",2021-03-07,"Vermont","Total",16083,208,NA,NA,"Northeast","Blue",643077
"370",2021-03-07,"Vermont","White",12735,185,NA,NA,"Northeast","Blue",594131
"371",2021-03-07,"Vermont","Black",613,2,NA,NA,"Northeast","Blue",8000
"372",2021-03-07,"Vermont","Asian",746,5,NA,NA,"Northeast","Blue",10824
"373",2021-03-07,"Vermont","AIAN",20,1,NA,NA,"Northeast","Blue",1336
"374",2021-03-07,"Vermont","NHPI",NA,NA,NA,NA,"Northeast","Blue",148
"375",2021-03-07,"Vermont","Multiracial",NA,NA,NA,NA,"Northeast","Blue",25809
"376",2021-03-07,"Vermont","Other",414,2,NA,NA,"Northeast","Blue",3568
"377",2021-03-07,"Washington","Total",344532,5041,19599,NA,"Pacific","Blue",7705281
"378",2021-03-07,"Washington","White",96572,3571,6056,NA,"Pacific","Blue",5374874
"379",2021-03-07,"Washington","Black",10932,161,623,NA,"Pacific","Blue",301477
"380",2021-03-07,"Washington","Asian",12525,383,871,NA,"Pacific","Blue",708647
"381",2021-03-07,"Washington","AIAN",3231,107,236,NA,"Pacific","Blue",91698
"382",2021-03-07,"Washington","NHPI",3691,81,355,NA,"Pacific","Blue",53003
"383",2021-03-07,"Washington","Multiracial",5823,59,239,NA,"Pacific","Blue",759279
"384",2021-03-07,"Washington","Other",3133,71,220,NA,"Pacific","Blue",399571
"385",2021-03-07,"Wisconsin","Total",621654,7106,26457,NA,"Midwest","Divided",5893718
"386",2021-03-07,"Wisconsin","White",481041,6144,18668,NA,"Midwest","Divided",4854979
"387",2021-03-07,"Wisconsin","Black",40549,478,3023,NA,"Midwest","Divided",363331
"388",2021-03-07,"Wisconsin","Asian",15553,127,563,NA,"Midwest","Divided",169052
"389",2021-03-07,"Wisconsin","AIAN",7580,97,410,NA,"Midwest","Divided",43759
"390",2021-03-07,"Wisconsin","NHPI",NA,NA,NA,NA,"Midwest","Divided",2261
"391",2021-03-07,"Wisconsin","Multiracial",NA,NA,NA,NA,"Midwest","Divided",320056
"392",2021-03-07,"Wisconsin","Other",34002,106,312,NA,"Midwest","Divided",128690
"393",2021-03-07,"West Virginia","Total",133445,2325,NA,NA,"Midatlantic","Red",1793716
"394",2021-03-07,"West Virginia","White",111202,2049,NA,NA,"Midatlantic","Red",1639342
"395",2021-03-07,"West Virginia","Black",4623,57,NA,NA,"Midatlantic","Red",61227
"396",2021-03-07,"West Virginia","Asian",NA,NA,NA,NA,"Midatlantic","Red",13602
"397",2021-03-07,"West Virginia","AIAN",NA,NA,NA,NA,"Midatlantic","Red",1730
"398",2021-03-07,"West Virginia","NHPI",NA,NA,NA,NA,"Midatlantic","Red",657
"399",2021-03-07,"West Virginia","Multiracial",NA,NA,NA,NA,"Midatlantic","Red",66905
"400",2021-03-07,"West Virginia","Other",3092,34,NA,NA,"Midatlantic","Red",9504
"401",2021-03-07,"Wyoming","Total",54764,682,NA,NA,"West","Red",576851
"402",2021-03-07,"Wyoming","White",28117,606,NA,NA,"West","Red",504798
"403",2021-03-07,"Wyoming","Black",425,2,NA,NA,"West","Red",4891
"404",2021-03-07,"Wyoming","Asian",281,6,NA,NA,"West","Red",4717
"405",2021-03-07,"Wyoming","AIAN",2250,51,NA,NA,"West","Red",12359
"406",2021-03-07,"Wyoming","NHPI",134,1,NA,NA,"West","Red",636
"407",2021-03-07,"Wyoming","Multiracial",NA,NA,NA,NA,"West","Red",34024
"408",2021-03-07,"Wyoming","Other",1726,8,NA,NA,"West","Red",16504
